sector_id,scenario,rank,title,category,score_delta,from_score,to_score,suggested_lat,suggested_lng
21001A34-,remote,3,+1 GP / doctor within 400m,gp,2,76,78,50.822571,4.300643
21001A34-,senior,1,+1 GP / doctor within 300m,gp,21,58,79,50.821941,4.299645
21001A34-,senior,2,+1 supermarket within 300m,supermarket,12,58,70,50.817327,4.29662
21001A34-,senior,3,+1 hospital within 0m,hospital,8,58,66,50.820029,4.29662
21001A350,family,1,+1 childcare centre within 400m,childcare,10,64,74,50.815153,4.300873
21001A350,family,2,+1 supermarket within 400m,supermarket,10,64,74,50.8141,4.29685
21001A350,family,3,+1 GP / doctor within 400m,gp,8,64,72,50.820237,4.300873
21001A350,remote,1,+1 coworking space within 550m,coworking,16,66,82,50.815769,4.289491
21001A350,remote,2,+1 supermarket within 400m,supermarket,10,66,76,50.8141,4.29685
21001A350,remote,3,+1 GP / doctor within 400m,gp,5,66,71,50.820237,4.300873
21001A350,senior,1,+1 GP / doctor within 300m,gp,27,51,78,50.819606,4.299875
21001A350,senior,2,+1 supermarket within 300m,supermarket,12,51,63,50.814992,4.29685
21001A350,senior,3,+1 hospital within 0m,hospital,8,51,59,50.817695,4.29685
21001A37-,family,1,+1 childcare centre within 400m,childcare,10,44,54,50.808418,4.296266
21001A37-,family,2,+1 transit stop within 300m,transit,9,44,53,50.81096,4.287692
21001A37-,family,3,+1 pharmacy within 400m,pharmacy,8,44,52,50.814555,4.292243
21001A37-,remote,1,+1 coworking space within 550m,coworking,20,34,54,50.809034,4.284885
21001A37-,remote,2,+1 transit stop within 300m,transit,12,34,46,50.81096,4.287692
21001A37-,remote,3,+1 café within 400m,cafe,8,34,42,50.807639,4.29442
21001A37-,senior,1,+1 GP / doctor within 300m,gp,27,24,51,50.812871,4.295268
21001A37-,senior,2,+1 transit stop within 250m,transit,17,24,41,50.81096,4.288821
21001A37-,senior,3,+1 supermarket within 300m,supermarket,8,24,32,50.808257,4.292243
21001A3MJ,family,1,+1 childcare centre within 400m,childcare,10,55,65,50.811391,4.299383
21001A3MJ,family,2,+1 supermarket within 400m,supermarket,10,55,65,50.810338,4.29536
21001A3MJ,family,3,+1 GP / doctor within 400m,gp,7,55,62,50.816474,4.299383
21001A3MJ,remote,1,+1 coworking space within 550m,coworking,20,52,72,50.812007,4.288001
21001A3MJ,remote,2,+1 supermarket within 400m,supermarket,10,52,62,50.810338,4.29536
21001A3MJ,remote,3,+1 pharmacy within 400m,pharmacy,5,52,57,50.817527,4.29536
21001A3MJ,senior,1,+1 GP / doctor within 300m,gp,27,44,71,50.815844,4.298385
21001A3MJ,senior,2,+1 supermarket within 300m,supermarket,12,44,56,50.81123,4.29536
21001A3MJ,senior,3,+1 hospital within 0m,hospital,8,44,52,50.813933,4.29536
21001A401,remote,1,+1 coworking space within 550m,coworking,17,72,89,50.825836,4.285002
21001A401,remote,2,+1 library within 550m,library,6,72,78,50.829687,4.299724
21001A401,senior,1,+1 local shop within 200m,convenience,6,77,83,50.826615,4.290548
21001A401,senior,2,+1 library within 400m,library,5,77,82,50.829209,4.297897
21001A401,senior,3,+1 café within 300m,cafe,4,77,81,50.825264,4.294
21001A41-,remote,1,+1 coworking space within 550m,coworking,20,70,90,50.826784,4.280508
21001A41-,remote,2,+1 library within 550m,library,7,70,77,50.830636,4.29523
21001A41-,senior,1,+1 library within 400m,library,5,89,94,50.830158,4.293403
21001A41-,senior,2,+1 restaurant within 300m,restaurant,5,89,94,50.826213,4.286232
21001A42-,family,1,+1 childcare centre within 400m,childcare,6,88,94,50.829696,4.295273
