sector_id,scenario,score,percentile,breakdown
21001A120,family,0.960904,92.3,"{""school"": 1.0, ""childcare"": 0.6695, ""supermarket"": 0.9989, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.9887, ""hospital"": 0.836, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 1.0, ""sport"": 1.0}"
21001A120,remote,0.871723,74.2,"{""supermarket"": 0.9989, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.9887, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""library"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.362}"
21001A120,senior,0.89951,87.9,"{""supermarket"": 0.8532, ""convenience"": 1.0, ""gp"": 0.7821, ""hospital"": 0.7282, ""park"": 0.979, ""library"": 1.0, ""transit"": 0.9988, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A132,family,0.869717,59.0,"{""school"": 1.0, ""childcare"": 0.0161, ""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.9895, ""hospital"": 0.9501, ""park"": 1.0, ""playground"": 0.6389, ""transit"": 0.999, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 0.9845, ""sport"": 1.0}"
21001A132,remote,0.824231,67.2,"{""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.9895, ""park"": 1.0, ""playground"": 0.6389, ""transit"": 0.999, ""cafe"": 1.0, ""library"": 0.9845, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.2028}"
21001A132,senior,0.888904,86.3,"{""supermarket"": 0.9724, ""convenience"": 1.0, ""gp"": 0.7857, ""hospital"": 0.9134, ""park"": 0.9458, ""library"": 0.741, ""transit"": 0.8551, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A142,family,0.86499,57.0,"{""school"": 1.0, ""childcare"": 0.0166, ""supermarket"": 0.9941, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 1.0, ""hospital"": 0.9015, ""park"": 0.999, ""playground"": 0.6087, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 0.9443, ""sport"": 1.0}"
21001A142,remote,0.903969,79.9,"{""supermarket"": 0.9941, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 1.0, ""park"": 0.999, ""playground"": 0.6087, ""transit"": 1.0, ""cafe"": 1.0, ""library"": 0.9443, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.624}"
21001A142,senior,0.909447,89.8,"{""supermarket"": 0.8123, ""convenience"": 1.0, ""gp"": 0.9238, ""hospital"": 0.8324, ""park"": 0.8559, ""library"": 0.6132, ""transit"": 0.9982, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A152,family,0.858728,55.0,"{""school"": 1.0, ""childcare"": 0.5906, ""supermarket"": 0.9825, ""pharmacy"": 0.8719, ""convenience"": 1.0, ""gp"": 0.9837, ""hospital"": 0.7878, ""park"": 0.9089, ""playground"": 0.1644, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 1.0, ""sport"": 1.0}"
